Player,Salary,Team
A.J. Hammons,650000,DAL
Aaron Brooks,2700000,IND
Aaron Gordon,4351320,ORL
Aaron Gray,452059,DET
Aaron Harrison,375579,CHA
Adreian Payne,2022240,MIN
Al Horford,26540100,BOS
Al Jefferson,10230179,IND
Alan Anderson,1315448,LAC
Alan Williams,874636,PHO
Alec Burks,10154495,UTA
Alex Abrines,5994764,OKC
Alex Caruso,50000,OKC
Alex Len,4823621,PHO
Alex Poythress,38903,PHI
Alexis Ajinca,4600000,NOH
Al-Farouq Aminu,7680965,POR
Allen Crabbe,18500000,POR
Alonzo Gee,1400000,NOH
Amir Johnson,12000000,BOS
Anderson Varejao,1984005,POR
Andre Drummond,22116750,DET
Andre Iguodala,11131368,GSW
Andre Roberson,2183072,OKC
Andrea Bargnani,323599,NJN
Andrew Bogut,11027027,PHI
Andrew Harrison,945000,MEM
Andrew Nicholson,6088993,NJN
Andrew Wiggins,6006600,MIN
Anthony Bennett,1015696,NJN
Anthony Brown,874636,LAL
Anthony Davis,22116750,NOH
Anthony Morrow,3488000,CHI
Anthony Tolliver,8000000,SAC
Archie Goodwin,2094089,PHO
Arinze Onuaku,440078,ORL
Aron Baynes,6500000,DET
Arron Afflalo,12500000,SAC
Austin Rivers,11000000,LAC
Avery Bradley,8269663,BOS
Axel Toupane,51449,MIL
Beau Beech,45000,NJN
Ben Bentil,250000,BOS
Ben McLemore,4008882,SAC
Ben Simmons,5903160,PHI
Beno Udrih,1551659,DET
Bismack Biyombo,17000000,ORL
Blake Griffin,20140838,LAC
Boban Marjanovic,7000000,DET
Bobby Brown,934293,HOU
Bobby Portis,1453680,CHI
Bojan Bogdanovic,3730653,WAS
Boris Diaw,7000000,UTA
Bradley Beal,22116750,WAS
Brady Heslip,56500,TOR
Brandan Wright,5700000,MEM
Brandon Bass,1551659,LAC
Brandon Ingram,5281680,LAL
Brandon Jennings,4837318,NYK
Brandon Knight,12606250,PHO
Brandon Paul,155000,PHI
Brandon Rush,3500000,MIN
Brian Roberts,1050961,CHA
Briante Weber,328000,MIA
Brice Johnson,1273920,LAC
Brook Lopez,21165675,NJN
Bruno Caboclo,1589640,TOR
Bryn Forbes,543471,SAS
Buddy Hield,3517200,SAC
C.J. McCollum,3219579,POR
C.J. Miles,4583450,IND
C.J. Watson,5000000,ORL
C.J. Wilcox,1209680,ORL
Cameron Jones,50000,GSW
Cameron Payne,2112480,CHI
Caris LeVert,1562280,NJN
Carl Landry,6500000,PHI
Carlos Delfino,650000,LAC
Carmelo Anthony,24559380,NYK
Caron Butler,517220,SAC
Cat Barber,50000,PHI
Chandler Parsons,22116750,MEM
Channing Frye,7806971,CLE
Chasson Randle,297311,PHI
Cheick Diallo,543471,NOH
Chinanu Onuaku,543471,HOU
Chris Andersen,1551659,CHA
Chris Bosh,23741060,MIA
Chris McCullough,1191480,WAS
Chris Paul,22868827,LAC
Chris Wright,100000,OKC
Christian Wood,874636,CHA
Cliff Alexander,51449,NJN
Clint Capela,1296240,HOU
Cody Zeller,5318313,CHA
Cole Aldrich,7643979,MIN
Corey Brewer,7600000,LAL
Cory Joseph,7330000,TOR
Courtney Lee,11242000,NYK
Cristiano Felicio,874636,CHI
D.J. Augustin,7250000,ORL
D.J. Kennedy,50000,DEN
D.J. Stephens,35000,MEM
D\'Angelo Russell,5332800,LAL
Dahntay Jones,24022,CLE
Damian Jones,1171560,GSW
Damian Lillard,24328425,POR
Damion Lee,50000,BOS
Damjan Rudez,980431,ORL
Daniel Ochefu,543471,WAS
Danilo Gallinari,15050000,DEN
Danny Green,10000000,SAS
Dante Cunningham,2978250,NOH
Dante Exum,3940320,UTA
Danuel House,543471,WAS
Dario Saric,2318280,PHI
Darrell Arthur,8070175,DEN
Darren Collison,5229454,SAC
Darrun Hilliard,874636,DET
David Lee,1551659,SAS
David Nwaba,137466,LAL
David West,1551659,GSW
Davis Bertans,543471,SAS
DeAndre Jordan,21165675,LAC
DeAndre Liggins,1015696,DAL
DeAndre\' Bembry,1499760,ATL
Dejounte Murray,1180080,SAS
Delon Wright,1577280,TOR
DeMar DeRozan,26540100,TOR
DeMarcus Cousins,16957900,NOH
DeMarre Carroll,14200000,TOR
Demetrius Jackson,1450000,BOS
Dennis Schroder,2708582,ATL
Denzel Valentine,2092200,CHI
Deron Williams,9000000,DAL
Derrick Favors,11050000,UTA
Derrick Jones,543471,PHO
Derrick Rose,21323250,NYK
Derrick Williams,4598000,MIA
Devin Booker,2223600,PHO
Devin Harris,4228000,DAL
Dewayne Dedmon,2898000,SAS
Deyonta Davis,1369229,MEM
Diamond Stone,543471,LAC
Dion Waiters,2898000,MIA
Dionte Christmas,50000,PHI
Dirk Nowitzki,25000000,DAL
Domantas Sabonis,2440200,OKC
Donatas Motiejunas,576724,NOH
Dorian Finney-Smith,543471,DAL
Doug McDermott,2483040,OKC
Dragan Bender,4276320,PHO
Draymond Green,15330435,GSW
Dwight Howard,23180275,ATL
Dwight Powell,8375000,DAL
Dwyane Wade,23200000,CHI
E.J. Singler,50000,TOR
E\'Twaun Moore,8081363,NOH
Ed Davis,6666667,POR
Edy Tavares,1000000,ATL
Egidijus Mockevicius,100000,NJN
Elfrid Payton,2613600,ORL
Elgin Cook,50000,GSW
Elijah Millsap,23069,PHO
Elliot Williams,250000,GSW
